OPK Wrapper Title|OPK Wrapper file name|Icon|Browse|Core|Core name|ROM extensions|ROM path
ZX81|ZX81|zx81|true|81_libretro.so||p,tzx,t81,zip,7z|/media/sdcard/roms/ZX81/
2048|2048|2048|false|2048_libretro.so|||
Atari 5200|A5200|a5200|true|a5200_libretro.so|a5200|bin,a52,zip,7z|/media/sdcard/roms/A5200/
Arduboy|ARDUOUS|arduous|true|arduous_libretro.so||hex|/media/sdcard/roms/ARDUBOY/
BK-0011|BK0011|bk0011|true|bk_libretro.so||bin,zip,7z|/media/sdcard/roms/BK0011/
Outrun|OUTRUN|outrun|true|cannonball_libretro.so||game,88,zip,7z|/media/sdcard/roms/OUTRUN/
ChaiLove|CHAILOVE|chailove|true|chailove_libretro.so||chai,chailove|/media/sdcard/roms/CHAILOVE/
Dinothawr|DINOTHAWR|dinothawr|true|dinothawr_libretro.so||game|/media/sdcard/roms/DINOTHAWR/
DosBox|DOSBOX|dosbox|true|dosbox_pure_libretro.so|DosBox Pure|zip,dosz,exe,com,bat,iso,cue,ins,img,ima,vhd,m3u,m3u8,7z|/media/sdcard/roms/DOSBOX/
Wolfenstein 3D|WOLF3D|wolf3d|true|ecwolf_libretro.so|ECWolf|wl6,n3d,sod,sdm,wl1,pk3,exe|/media/sdcard/roms/WOLF3D/
CPS1|CPS1|cps|true|fbalpha2012_cps1_libretro.so|FBA|zip,7z|/media/sdcard/roms/CPS/
CPS2|CPS2|cps|true|fbalpha2012_cps2_libretro.so|FBA|zip,7z|/media/sdcard/roms/CPS/
Neo Geo|NEOGEO|neogeo|true|fbalpha2012_neogeo_libretro.so|FBA|zip,7z|/media/sdcard/roms/NEOGEO/
Nintendo NES|FC_FCEUmm|fc|true|fceumm_libretro.so|FCEUmm|zip,nes,7z|/media/sdcard/roms/FC/
ChannelF|CHANNELF|channelf|true|freechaf_libretro.so|FreeChaf|bin,chf,zip,7z|/media/sdcard/roms/CHANNELF/
ZX Spectrum|ZX|zx|true|fuse_libretro.so|FUSE|tzx,tap,z80,rzx,scl,trd,dsk,zip,7z|/media/sdcard/roms/ZX/
Nintendo GB|GB|gb|true|gambatte_libretro.so|Gambatte|gb,gz,zip,7z|/media/sdcard/roms/GB/
Nintendo GBC|GBC|gbc|true|gambatte_libretro.so|Gambatte|gbc,zip,7z|/media/sdcard/roms/GBC/
